#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:877384-878154|+   -            257 18543                -            519   1.3e-24   83.9   0.2   1   1   4.5e-26   1.7e-24   83.5   0.2    23   236    26   246    17   251 0.85 contig_1_pilon_832 # 877384 # 878154 # 1 # ID=1_832;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
contig_1_pilon:230674-231411|+   -            246 18543                -            519   1.5e-24   83.7   0.1   1   1   5.2e-26     2e-24   83.3   0.1    10   219     6   210     2   218 0.93 contig_1_pilon_190 # 230674 # 231411 # 1 # ID=1_190;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.393
contig_2_pilon:1176049-1176948|+ -            300 18543                -            519   2.5e-24   83.0   0.9   1   1   8.6e-26   3.3e-24   82.6   0.9     7   229     2   216     1   255 0.93 contig_2_pilon_1126 # 1176049 # 1176948 # 1 # ID=5_1126;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.388
contig_2_pilon:149902-151524|-   -            541 18543                -            519   5.5e-24   81.9   0.1   1   4   4.4e-12   1.7e-10   37.4   0.0     7    67     2    62     1   103 0.91 contig_2_pilon_121 # 149902 # 151524 # -1 # ID=5_121;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
contig_2_pilon:149902-151524|-   -            541 18543                -            519   5.5e-24   81.9   0.1   2   4   2.4e-08   9.1e-07   25.0   0.0   394   481   146   230   125   265 0.84 contig_2_pilon_121 # 149902 # 151524 # -1 # ID=5_121;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
contig_2_pilon:149902-151524|-   -            541 18543                -            519   5.5e-24   81.9   0.1   3   4     0.038       1.5    4.6   0.0     8    64   321   377   316   393 0.85 contig_2_pilon_121 # 149902 # 151524 # -1 # ID=5_121;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
contig_2_pilon:149902-151524|-   -            541 18543                -            519   5.5e-24   81.9   0.1   4   4    0.0011     0.043    9.6   0.0   400   478   436   511   419   528 0.66 contig_2_pilon_121 # 149902 # 151524 # -1 # ID=5_121;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
contig_2_pilon:1121732-1123666|- -            645 18543                -            519   2.3e-23   79.8   0.6   1   4   7.4e-11   2.8e-09   33.3   0.2     7    66     4    63     1    72 0.92 contig_2_pilon_1070 # 1121732 # 1123666 # -1 # ID=5_1070;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
contig_2_pilon:1121732-1123666|- -            645 18543                -            519   2.3e-23   79.8   0.6   2   4   5.3e-06    0.0002   17.3   0.0   399   468   160   229   136   256 0.75 contig_2_pilon_1070 # 1121732 # 1123666 # -1 # ID=5_1070;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
contig_2_pilon:1121732-1123666|- -            645 18543                -            519   2.3e-23   79.8   0.6   3   4   8.5e-06   0.00033   16.6   0.0     5    50   327   372   324   390 0.88 contig_2_pilon_1070 # 1121732 # 1123666 # -1 # ID=5_1070;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
