	rna_bhi_rep1	rna_bhi_rep2	rna_bhi_rep3	rna_serum_rep1	rna_serum_rep2	rna_serum_rep3
EFM745_02480	96.650583544393	112.437353922063	70.4481383437085	57.577840072536	43.4654094284469	46.8020158529592
EFM745_02481	31.001130570843	30.8295970431463	34.7279555215464	35.6982608449723	29.6355064284865	32.9741475327667
EFM745_02482	53.7960795199923	72.5402283368149	69.4559110430929	51.8200560652824	57.2953124284073	51.0567445668645
EFM745_02483	15.5005652854215	20.8553156468343	11.9067276073874	28.788920036268	22.7205549285064	19.1462792125742
EFM745_02484	1048.56765166087	953.904002629115	940.631480983601	910.881429947519	864.368937497524	857.327835851934
EFM745_02485	7078.28754768983	7147.93274973889	7031.91487946285	8503.09542191211	8169.52127211946	7908.47699697162
EFM745_02486	7949.9663955053	7783.56650054023	7704.64498928023	5673.7203607477	5580.36586048402	5453.49852904822
EFM745_02488	5162.60003800333	6477.84239047757	6524.88672884827	4767.44515800598	5035.07254219986	5051.42666558416
EFM745_02489	806.029394841919	836.026131581791	742.186020860478	450.258709367231	450.459697712996	507.376399133216
EFM745_02490	916.356947755801	889.524549980192	979.32834570761	289.040757164131	342.784024356161	329.741475327667
EFM745_02491	11613.5705906126	10901.8895661691	10413.4255199609	5726.69197361443	5944.8825895544	5734.31062416597
EFM745_02493	93.915189670495	114.250859630483	106.168321165871	24.1826928304651	25.684105571355	23.4010079264796
EFM745_02494	1843.65547100719	1604.04579909782	1536.96008865358	2472.3924527147	2328.36295506476	2359.24707186053
EFM745_02495	1449.75875316589	1555.98789782468	1490.32540552465	1181.49727828844	1200.23801035371	1106.2294656154
EFM745_02496	277.186579221655	282.906890513578	280.800326074218	401.893323706301	427.739142784489	378.670855537579
EFM745_02497	108.503956997951	132.385916714687	122.04395797572	206.128667459679	202.509293927991	159.552326771452
EFM745_02498	878.973231479196	844.186907269683	732.263747854322	5046.12190395705	4577.69789298689	4639.78166251381
EFM745_02499	5427.93324377143	5413.31453963481	5046.46805093101	9463.49379432202	8621.95667026102	9258.2896814581
EFM745_02500	1381.37390631845	1367.38330414896	1616.33827270283	1201.0737439131	1169.61465371094	1060.49113194092
EFM745_02501	4207.94757601296	4221.84128920263	3744.66583252332	14309.2448148266	13784.4618901034	13756.6016142346
EFM745_02502	940.975492620882	838.746390144422	889.035661351589	278.676745951074	270.67095871351	328.67779314919
EFM745_02503	196.036560962684	233.035483532018	262.940234663137	234.917587495947	282.525161284905	276.55736640385
EFM745_02504	29741.937590892	26255.0288936559	26088.6324150863	77546.9865664929	74486.8697075724	77220.1351108472
EFM745_02505	1173.4839719022	1482.54091663365	1709.6076389607	1318.53253766107	1527.21643128134	1282.80070724247
EFM745_02506	2440.8831334749	2263.25512410862	2392.26002178424	2242.08109242455	2337.25360699331	2165.65691537784
EFM745_02507	330.982658741648	296.508183326731	356.209600921005	3630.85859497412	3670.8513962752	3906.90464154361
EFM745_02508	7338.14996571014	6433.41150062127	6691.58091535169	1366.897923322	1409.66225578168	1397.67838251792
EFM745_02509	17563.0522663405	16581.7894449417	15880.5979463529	4586.65074017822	4404.82410548738	4511.07611891818
EFM745_02510	1073.18619652595	960.251272608587	981.312800308841	2152.2596619114	1790.97243849487	1781.66764894788
EFM745_02511	1502.64303472792	1410.00068829684	1337.52240122985	1673.2120325079	1710.95657113796	1691.25466377739
EFM745_02512	2044.25102175971	1954.95915367716	1929.88209969737	1168.83015347248	1134.05204599675	1200.89717949979
EFM745_02513	4384.83637985836	3823.77678620435	3819.08288006949	9849.265322808	9505.09476182992	9438.0519696206
EFM745_02514	14088.1902485322	11139.4588139721	10989.9095816185	5102.54818722814	5029.14544091417	5138.64860421922
EFM745_02515	3992.76325793299	4185.57117503422	4040.34956810678	30268.6705261322	28992.4159389884	29421.4490566557
EFM745_02516	2870.33997167688	2711.19103408846	2682.98262086462	659.842047231262	654.944692069553	589.279926875895
EFM745_02517	20.0595550752514	19.9485627926241	21.8290006135435	31.0920336391694	18.7691540713748	30.846783175814
EFM745_02518	888.091211058856	933.048686982281	856.292160431274	824.514669838715	835.721281283321	789.252176429448
EFM745_02519	3705.54690117371	3178.1687540067	2911.19490000621	774.997727376334	790.280171426308	790.315858607924
EFM745_02520	8298.2732154483	7747.29638637183	7798.90658283872	833.727124250321	877.210990283202	783.933765537066
EFM745_02521	12001.9965207061	13789.8974068285	13064.6568672058	977.671724431661	1129.11279492534	990.288108161477
EFM745_02522	5085.09721157622	5338.05405273536	5250.86687485782	4217.00100691254	3917.81394984592	4078.1574722783
EFM745_02523	980.182804813419	997.428139631204	1095.41893987964	374.255960471484	382.298032927476	430.79128228292
EFM745_02524	1833.62569346957	1796.27740419038	1832.64382423704	1138.88967663476	1060.95113013982	1038.15380619291
EFM745_02525	336.453446489443	332.778297495138	351.248464417927	251.039382716257	264.743857427813	208.481706981364
EFM745_02526	4068.44248844416	3967.04373716956	3879.60874540705	2420.57239664941	2334.29005635046	2239.0509856927
EFM745_02527	1206.30869838898	1366.47655129475	1307.75558221138	452.561822970133	470.216701998653	411.645003070345
EFM745_02528	1303.87107989134	1222.30284747533	1278.98099049353	1028.34022369549	1045.14552671129	1110.4841943293
EFM745_02529	895.385594722584	781.62096032918	841.40875092204	563.111275909402	595.67367921258	572.261012020273
EFM745_02530	6443.67616894552	5581.9705705179	5297.50155798676	5172.79315211663	4609.30909984394	4836.56286553194
